Energy,PDOS on D-band
-13.4499,0.0
-13.4399,0.0
-13.4299,0.0
-13.4199,0.0
-13.4099,0.0
-13.3999,0.0
-13.3899,0.0
-13.3799,0.0
-13.3699,0.0
-13.3599,0.0
-13.3499,0.0
-13.3399,0.0
-13.3299,0.0
-13.3199,0.0
-13.3099,0.0
-13.2999,0.0
-13.2899,0.0
-13.2799,0.0
-13.2699,0.0
-13.2599,0.0
-13.2499,0.0
-13.2399,0.0
-13.2299,0.0
-13.2199,0.0
-13.2099,0.0
-13.1999,0.0
-13.1899,0.0
-13.1799,0.0
-13.1699,0.0
-13.1599,0.0
-13.1499,0.0
-13.1399,0.0
-13.1299,0.0
-13.1199,0.0
-13.1099,0.0
-13.0999,0.0
-13.0899,0.0
-13.0799,0.0
-13.0699,0.0
-13.0599,0.0
-13.0499,0.0
-13.0399,0.0
-13.0299,0.0
-13.0199,0.0
-13.0099,0.0
-12.9999,0.0
-12.9899,0.0
-12.9799,0.0
-12.9699,0.0
-12.9599,0.0
-12.9499,0.0
-12.9399,0.0
-12.9299,0.0
-12.9199,0.0
-12.9099,0.0
-12.8999,0.0
-12.8899,0.0
-12.8799,0.0
-12.8699,0.0
-12.8599,0.0
-12.8499,0.0
-12.8399,0.0
-12.8299,0.0
-12.8199,0.0
-12.8099,0.0
-12.7999,0.0
-12.7899,0.0
-12.7799,0.0
-12.7699,0.0
-12.7599,0.0
-12.7499,0.0
-12.7399,0.0
-12.7299,0.0
-12.7199,0.0
-12.7099,0.0
-12.6999,0.0
-12.6899,0.0
-12.6799,0.0
-12.6699,0.0
-12.6599,0.0
-12.6499,0.0
-12.6399,0.0
-12.6299,0.0
-12.6199,0.0
-12.6099,0.0
-12.5999,0.0
-12.5899,0.0
-12.5799,0.0
-12.5699,0.0
-12.5599,0.0
-12.5499,0.0
-12.5399,0.0
-12.5299,0.0
-12.5199,0.0
-12.5099,0.0
-12.4999,0.0
-12.4899,0.0
-12.4799,0.0
-12.4699,0.0
-12.4599,0.0
-12.4499,0.0
-12.4399,0.0
-12.4299,0.0
-12.4199,0.0
-12.4099,0.0
-12.3999,0.0
-12.3899,0.0
-12.3799,0.0
-12.3699,0.0
-12.3599,0.0
-12.3499,0.0
-12.3399,0.0
-12.3299,0.0
-12.3199,0.0
-12.3099,0.0
-12.2999,0.0
-12.2899,0.0
-12.2799,0.0
-12.2699,0.0
-12.2599,0.0
-12.2499,0.0
-12.2399,0.0
-12.2299,0.0
-12.2199,0.0
-12.2099,0.0
-12.1999,0.0
-12.1899,0.0
-12.1799,0.0
-12.1699,0.0
-12.1599,0.0
-12.1499,0.0
-12.1399,0.0
-12.1299,0.0
-12.1199,0.0
-12.1099,0.0
-12.0999,0.0
-12.0899,0.0
-12.0799,0.0
-12.0699,0.0
-12.0599,0.0
-12.0499,0.0
-12.0399,0.0
-12.0299,0.0
-12.0199,0.0
-12.0099,0.0
-11.9999,0.0
-11.9899,0.0
-11.9799,0.0
-11.9699,0.0
-11.9599,0.0
-11.9499,0.0
-11.9399,0.0
-11.9299,0.0
-11.9199,0.0
-11.9099,0.0
-11.8999,0.0
-11.8899,0.0
-11.8799,0.0
-11.8699,0.0
-11.8599,0.0
-11.8499,0.0
-11.8399,0.0
-11.8299,0.0
-11.8199,0.0
-11.8099,0.0
-11.7999,0.0
-11.7899,0.0
-11.7799,0.0
-11.7699,0.0
-11.7599,0.0
-11.7499,0.0
-11.7399,0.0
-11.7299,0.0
-11.7199,0.0
-11.7099,0.0
-11.6999,0.0
-11.6899,0.0
-11.6799,0.0
-11.6699,0.0
-11.6599,0.0
-11.6499,0.0
-11.6399,0.0
-11.6299,0.0
-11.6199,0.0
-11.6099,0.0
-11.5999,0.0
-11.5899,0.0
-11.5799,0.0
-11.5699,0.0
-11.5599,0.0
-11.5499,0.0
-11.5399,0.0
-11.5299,0.0
-11.5199,0.0
-11.5099,0.0
-11.4999,0.0
-11.4899,0.0
-11.4799,0.0
-11.4699,0.0
-11.4599,0.0
-11.4499,0.0
-11.4399,0.0
-11.4299,0.0
-11.4199,0.0
-11.4099,0.0
-11.3999,0.0
-11.3899,0.0
-11.3799,0.0
-11.3699,0.0
-11.3599,0.0
-11.3499,0.0
-11.3399,0.0
-11.3299,0.0
-11.3199,0.0
-11.3099,0.0
-11.2999,0.0
-11.2899,0.0
-11.2799,0.0
-11.2699,0.0
-11.2599,0.0
-11.2499,0.0
-11.2399,0.0
-11.2299,0.0
-11.2199,0.0
-11.2099,0.0
-11.1999,0.0
-11.1899,0.0
-11.1799,0.0
-11.1699,0.0
-11.1599,0.0
