index, frame, sample, time, raw[0], cal[0], raw[1], cal[1], raw[2], cal[2]
161,180,1,1.58173,787,0.7868,8,0.819355,0,-2.15516
162,181,0,1.5915,795,0.7944,8,0.778387,0,-2.11702
163,182,0,1.60126,802,0.8018,7,0.757903,-1,-1.81186
164,183,0,1.61102,809,0.8092,7,0.757903,0,-1.54485
165,184,0,1.62079,816,0.8164,7,0.737419,0,-1.22062
166,185,0,1.63055,824,0.8236,8,0.737419,1,-0.953611
167,186,0,1.64031,831,0.8308,7,0.737419,-1,-0.762889
168,187,0,1.65008,838,0.838,7,0.737419,0,-0.591239
169,188,0,1.65984,845,0.845,7,0.716935,0,-0.381445
170,189,0,1.66961,852,0.852,7,0.716935,0,-0.0572167
171,190,0,1.67937,859,0.8588,7,0.696452,0,0.247939
172,191,0,1.68913,866,0.8656,7,0.696452,0,0.610311
173,192,0,1.6989,872,0.8726,6,0.716935,-1,0.915467
174,193,0,1.70866,879,0.8798,7,0.737419,1,1.06804
175,194,0,1.71843,887,0.8872,8,0.757903,1,0.972684
176,195,0,1.72819,895,0.8948,8,0.778387,0,0.839178
177,196,0,1.73795,903,0.9026,8,0.798871,0,0.362372
178,197,0,1.74772,910,0.9104,7,0.798871,-1,-0.228867
179,198,0,1.75748,918,0.918,8,0.778387,1,-0.705672
180,199,0,1.76724,926,0.9254,8,0.757903,0,-1.04897
181,200,0,1.77701,933,0.9328,7,0.757903,-1,-1.33506
182,201,0,1.78677,940,0.9398,7,0.716935,0,-1.33506
183,202,0,1.79654,947,0.9466,7,0.696452,0,-1.14433
184,203,0,1.8063,953,0.9534,6,0.696452,-1,-0.953611
185,204,0,1.81606,960,0.9602,7,0.696452,1,-0.762889
186,205,0,1.82583,967,0.9668,7,0.675968,0,-0.591239
187,206,0,1.83559,974,0.9736,7,0.696452,0,-0.438661
188,207,0,1.84535,980,0.9804,6,0.696452,-1,-0.610311
189,208,0,1.85512,987,0.987,7,0.675968,1,-0.705672
190,209,0,1.86488,994,0.9936,7,0.675968,0,-0.839178
191,210,0,1.87465,1000,1.0002,6,0.675968,-1,-0.991756
192,211,0,1.88441,1007,1.0066,7,0.655484,1,-1.16341
193,213,0,1.89417,1013,1.0126,6,0.614516,-1,-1.04897
194,213,1,1.90394,1019,1.0188,6,0.635,0,-0.953611
195,214,0,1.9137,1024,1.0248,5,0.614516,-1,-0.972684
196,215,0,1.92346,1031,1.0306,7,0.594032,2,-0.896395
197,216,0,1.93323,1037,1.0364,6,0.594032,-1,-0.724745
198,217,0,1.94299,1042,1.0424,5,0.614516,-1,-0.762889
199,218,0,1.95276,1048,1.0482,6,0.594032,1,-0.915467
200,219,0,1.96252,1054,1.0538,6,0.573548,0,-0.877322
201,220,0,1.97228,1060,1.0594,6,0.573548,0,-0.85825
202,221,0,1.98205,1065,1.065,5,0.573548,-1,-1.06804
203,222,0,1.99181,1070,1.0702,5,0.532581,0,-1.08712
204,223,0,2.00157,1076,1.0754,6,0.532581,1,-1.01083
205,224,0,2.01134,1080,1.0806,4,0.532581,-2,-1.0299
206,225,0,2.0211,1086,1.0858,6,0.532581,2,-1.04897
207,226,0,2.03087,1091,1.0906,5,0.491613,-1,-0.972684
208,227,0,2.04063,1096,1.0956,5,0.512097,0,-0.896395
209,228,0,2.05039,1100,1.1004,4,0.491613,-1,-0.934539
210,229,0,2.06016,1105,1.105,5,0.471129,1,-0.896395
211,230,0,2.06992,1110,1.1096,5,0.471129,0,-0.877322
212,231,0,2.07969,1114,1.1142,4,0.471129,-1,-0.762889
213,232,0,2.08945,1119,1.1186,5,0.450645,1,-0.781961
214,233,0,2.09921,1123,1.123,4,0.450645,-1,-0.724745
215,234,0,2.10898,1127,1.1274,4,0.450645,0,-0.781961
216,235,0,2.11874,1132,1.1316,5,0.430161,1,-0.85825
217,236,0,2.1285,1136,1.1358,4,0.430161,-1,-0.85825
218,237,0,2.13827,1140,1.14,4,0.430161,0,-0.877322
219,238,0,2.14803,1144,1.144,4,0.409677,0,-0.915467
